Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
362	1	0.32	71	67	60	71	67	60
361	1	0.32	40	65	60	40	65	60
360	1	0.32	51	63	60	51	63	60
359	1	0.324	59	60	60	59	60	60
358	1	0.345	27	44	60	27	44	60
357	1	0.324	71	41	60	71	41	60
356	1	0.324	27	39	60	27	39	60
355	1	0.32	59	37	60	59	37	60
354	1	0.327	59	24	60	59	24	60
353	1	0.32	54	79	59	54	79	59
352	1	0.324	20	66	59	20	66	59
351	1	0.32	29	63	59	29	63	59
350	1	0.32	44	21	59	44	21	59
349	1	0.327	51	75	58	51	75	58
348	1	0.32	44	66	58	44	66	58
347	1	0.32	64	55	58	64	55	58
346	1	0.32	37	55	58	37	55	58
345	1	0.32	15	35	58	15	35	58
344	1	0.345	58	82	57	58	82	57
343	1	0.338	22	78	57	22	78	57
342	1	0.324	20	71	57	20	71	57
341	1	0.32	52	57	57	52	57	57
340	1	0.32	41	57	57	41	57	57
339	1	0.324	56	37	56	56	37	56
338	1	0.324	28	36	56	28	36	56
337	1	0.32	68	35	56	68	35	56
336	1	0.327	61	25	56	61	25	56
335	1	0.327	64	75	55	64	75	55
334	1	0.32	43	61	55	43	61	55
333	1	0.32	47	59	55	47	59	55
332	1	0.327	16	57	55	16	57	55
331	1	0.324	34	35	55	34	35	55
330	1	0.32	72	31	55	72	31	55
329	1	0.32	39	23	55	39	23	55
328	1	0.32	31	73	54	31	73	54
327	1	0.324	21	65	54	21	65	54
326	1	0.324	12	41	54	12	41	54
325	1	0.32	14	40	54	14	40	54
324	1	0.32	31	36	54	31	36	54
323	1	0.32	14	35	54	14	35	54
322	1	0.327	70	29	54	70	29	54
321	1	0.327	37	29	54	37	29	54
320	1	0.32	36	23	54	36	23	54
319	1	0.324	37	86	53	37	86	53
318	1	0.324	60	76	53	60	76	53
317	1	0.345	41	69	53	41	69	53
316	1	0.324	30	68	53	30	68	53
315	1	0.324	20	56	53	20	56	53
314	1	0.327	22	43	53	22	43	53
313	1	0.32	72	32	53	72	32	53
312	1	0.324	48	78	52	48	78	52
311	1	0.32	54	59	52	54	59	52
310	1	0.324	74	46	52	74	46	52
309	1	0.32	44	44	52	44	44	52
308	1	0.327	16	40	52	16	40	52
307	1	0.32	67	34	52	67	34	52
306	1	0.331	35	32	52	35	32	52
305	1	0.327	55	82	51	55	82	51
304	1	0.32	21	76	51	21	76	51
303	1	0.32	61	73	51	61	73	51
302	1	0.327	43	69	51	43	69	51
301	1	0.324	42	61	51	42	61	51
300	1	0.331	48	57	51	48	57	51
299	1	0.331	49	55	51	49	55	51
298	1	0.331	13	52	51	13	52	51
297	1	0.32	14	40	51	14	40	51
296	1	0.327	76	37	51	76	37	51
295	1	0.324	55	34	51	55	34	51
294	1	0.324	71	33	51	71	33	51
293	1	0.335	26	63	50	26	63	50
292	1	0.32	13	59	50	13	59	50
291	1	0.324	42	52	50	42	52	50
290	1	0.324	64	37	50	64	37	50
289	1	0.32	38	37	50	38	37	50
288	1	0.324	50	96	49	50	96	49
287	1	0.324	71	78	49	71	78	49
286	1	0.324	19	78	49	19	78	49
285	1	0.32	45	67	49	45	67	49
284	1	0.324	41	66	49	41	66	49
283	1	0.335	66	40	49	66	40	49
282	1	0.327	49	38	49	49	38	49
281	1	0.324	78	36	49	78	36	49
280	1	0.324	28	88	48	28	88	48
279	1	0.32	22	81	48	22	81	48
278	1	0.324	38	75	48	38	75	48
277	1	0.335	62	68	48	62	68	48
276	1	0.32	74	37	48	74	37	48
275	1	0.327	76	36	48	76	36	48
274	1	0.324	49	96	47	49	96	47
273	1	0.32	18	73	47	18	73	47
